Time,Balanus Growth Rate,Algae,Anemones,Balanus_glandula,Chiton_spp,Chthamalus_dalli,Chthamalus_dalli (dead),Emplectonema worm,Leptasterias,Limpets,Littorina_sitkana,Mytilus_californianus,Mytilus_californianus_(dead),Mytilus_spp,Mytilus_spp_(dead),Mytilus_trossulus,Mytilus_trossulus_(dead),Mytilus_trossulus2,Mytilus_trossulus2_(dead),Nereis_worm,Nucella_canaliculata,Nucella_eggs,Nucella_ostrina,Other_worm spp.,Pisaster,Pollicipes_polymerus,Sandtube_worm,Semibalanus_cariosus,Semibalanus_cariosus_(dead),Temperature,Day
3/17/2015 0:00,-277.9285714,0,552,21933,0,5219,130,2,1,3622,4768,821,5,8111,1,12239,42,20350,43,0,32,8,364,0,0,14688,0,106,14,12.19,806
4/19/2015 0:00,-228.1515152,0,634,14404,1,3232,197,5,7,7068,10214,444,1,3944,0,5934,7,9878,7,2,47,175,1195,0,1,16761,0,100,7,10.57,839
5/18/2015 0:00,-31.27586207,0,526,13497,2,2226,37,5,0,9788,11156,469,2,3476,0,2980,9,6456,9,0,32,88,785,0,2,17845,0,119,9,10.71,868
6/15/2015 0:00,-38.46428571,0,468,12420,3,2196,57,5,0,12152,12624,344,5,3293,0,1649,16,4942,16,1,8,67,895,2,0,21804,0,94,5,9.41,896
7/13/2015 0:00,26.96428571,0,1189,13175,0,3127,45,4,0,12120,15012,186,0,1960,0,1077,4,3037,4,0,28,42,921,0,0,20974,0,150,6,15.76,924
8/28/2015 0:00,328.9347826,0,1814,28306,1,10112,21,2,0,9670,15216,182,0,1628,0,449,0,2077,0,1,30,8,158,1,2,24319,0,168,14,15.01,970
9/29/2015 0:00,-177.0625,0,2461,22640,2,11793,57,0,0,7337,11963,202,1,7081,1,41,0,7122,1,0,12,79,51,0,1,30222,0,180,11,10.6,1002
10/28/2015 0:00,-64.79310345,0,2549,20761,0,11013,39,1,0,7842,10626,179,0,3168,0,26,0,3194,0,1,8,39,30,0,0,34220,0,365,6,13.9,1031
11/24/2015 0:00,86.33333333,0,2848,23092,1,19137,71,2,0,7952,5559,214,0,4243,0,45,0,4288,0,0,5,0,16,0,0,42689,0,201,4,11.29,1058
1/21/2016 0:00,-102.2068966,0,1994,17164,4,27578,93,2,1,10463,9558,319,0,8240,19,5,0,8245,19,0,12,8,49,0,0,79711,0,143,6,11.2,1116
2/8/2016 0:00,128.0555556,0,1939,19469,3,24257,91,7,0,6473,18093,274,0,7334,1,3,0,7337,1,0,17,0,49,0,1,68914,0,212,8,11.63,1134
4/8/2016 0:00,-117.7666667,0,1424,12403,2,20901,825,14,2,3673,17578,598,5,8215,8,700,5,8915,13,4,38,14,275,2,4,89851,0,116,2,11.89,1194
5/6/2016 0:00,-9.214285714,0,1346,12145,4,19840,762,12,0,5272,20519,1829,12,10468,11,68,0,10536,11,4,24,76,458,2,11,88371,0,132,0,11.27,1222
6/6/2016 0:00,106,0,1057,15431,2,24795,452,35,0,7978,24108,2418,9,11785,9,546,1,12331,10,0,36,114,441,1,1,87554,0,113,3,12.56,1253
7/4/2016 0:00,303.25,0,699,23922,3,25362,342,28,0,6954,22180,1879,17,4988,5,1,0,4989,5,1,21,59,330,1,0,75086,0,112,1,10.48,1281
8/1/2016 0:00,991.7857143,0,730,51692,5,30283,127,22,0,10179,31776,3311,1,8658,3,12,0,8670,3,1,23,12,275,1,0,85954,0,117,4,9.27,1309
8/29/2016 0:00,1404.428571,0,825,91016,0,24363,0,0,1,9735,33030,6035,0,7157,0,30,0,7187,0,4,45,0,82,3,0,84820,0,163,0,12.74,1337
10/18/2016 0:00,-169.46,0,989,82543,3,19246,0,1,0,11484,34842,14902,0,7807,0,4,0,7811,0,1,17,0,32,2,0,76145,0,92,1,13.07,1387
